code,name,weight_kg,volume_m3,category
POTATO_PRODUCTS,potato products,0.9174,0.019,Produce
POT_PLANTS,pot plants,3.1957,0.042,Grocery
PRESERVATION_PRODUCTS,preservation products,3.6588,0.0095,Grocery
PROCESSED_CHEESE,processed cheese,2.2447,0.0299,Dairy
PROSECCO,prosecco,2.5602,0.0517,Grocery
PUDDING_POWDER,pudding powder,3.595,0.0562,Grocery
READY_SOUPS,ready soups,3.2177,0.0091,Grocery
RED_BLUSH_WINE,red/blush wine,0.8126,0.0268,Drinks
RICE,rice,3.2189,0.0467,Grocery
ROLLS_BUNS,rolls/buns,3.5384,0.0546,Bakery
ROLL_PRODUCTS,roll products,0.8419,0.0273,Bakery
ROOT_VEGETABLES,root vegetables,0.8158,0.0135,Produce
RUBBING_ALCOHOL,rubbing alcohol,0.7954,0.035,Grocery
RUM,rum,2.3554,0.0567,Grocery
SALAD_DRESSING,salad dressing,0.661,0.0204,Grocery
SALT,salt,2.2375,0.0364,Grocery
SALTY_SNACK,salty snack,1.0816,0.0503,Snacks
SAUCES,sauces,3.3775,0.0281,Grocery
SAUSAGE,sausage,0.7362,0.0364,Meat & Frozen
SEASONAL_PRODUCTS,seasonal products,2.0745,0.0314,Grocery
SEMI_FINISHED_BREAD,semi-finished bread,1.4362,0.0234,Bakery
SHOPPING_BAGS,shopping bags,0.1837,0.0019,Household
SKIN_CARE,skin care,1.3163,0.0159,Grocery
SLICED_CHEESE,sliced cheese,3.0418,0.0488,Dairy
SNACK_PRODUCTS,snack products,3.4589,0.021,Snacks
SOAP,soap,1.2869,0.0303,Household
SODA,soda,1.2846,0.0088,Drinks
SOFTENER,softener,1.737,0.0547,Grocery
SOFT_CHEESE,soft cheese,3.5175,0.0417,Dairy
SOUND_STORAGE_MEDIUM,sound storage medium,1.5517,0.0052,Grocery
SOUPS,soups,0.5374,0.0358,Grocery
SPARKLING_WINE,sparkling wine,0.3205,0.008,Drinks
SPECIALTY_BAR,specialty bar,1.6301,0.0587,Grocery
SPECIALTY_CHEESE,specialty cheese,2.6804,0.0537,Dairy
SPECIALTY_CHOCOLATE,specialty chocolate,3.2121,0.0181,Snacks
SPECIALTY_FAT,specialty fat,1.6659,0.0214,Grocery
SPECIALTY_VEGETABLES,specialty vegetables,1.3778,0.0035,Produce
SPICES,spices,0.2108,0.0561,Grocery
SPREAD_CHEESE,spread cheese,1.1272,0.0536,Dairy
SUGAR,sugar,0.5209,0.0195,Snacks
SWEET_SPREADS,sweet spreads,3.8146,0.0575,Grocery
SYRUP,syrup,2.84,0.0522,Grocery
TEA,tea,0.747,0.0305,Drinks
TIDBITS,tidbits,0.2821,0.0519,Grocery
TOILET_CLEANER,toilet cleaner,3.2239,0.0023,Household
TROPICAL_FRUIT,tropical fruit,1.6928,0.0251,Produce
TURKEY,turkey,2.9121,0.0306,Grocery
UHT_MILK,UHT-milk,2.1039,0.0066,Dairy
VINEGAR,vinegar,0.941,0.0067,Grocery
WAFFLES,waffles,1.1061,0.0534,Grocery
WHIPPED_SOUR_CREAM,whipped/sour cream,0.5778,0.0138,Dairy
WHISKY,whisky,2.5448,0.0509,Grocery
WHITE_BREAD,white bread,2.4202,0.0414,Bakery
WHITE_WINE,white wine,1.0552,0.0577,Drinks
WHOLE_MILK,whole milk,2.7349,0.054,Dairy
YOGURT,yogurt,0.1684,0.0171,Dairy
ZWIEBACK,zwieback,3.4989,0.0332,Grocery
