code,name,weight_kg,volume_m3,category
20981,12 PENCILS TALL TUBE WOODLAND,1.7945,0.0288,Stationery
20982,12 PENCILS TALL TUBE SKULLS,0.7553,0.0311,Stationery
20983,12 PENCILS TALL TUBE RED RETROSPOT,2.7764,0.0257,Stationery
20992,JAZZ HEARTS PURSE NOTEBOOK,0.1769,0.05,Decor
21033,JUMBO BAG CHARLIE AND LOLA TOYS,2.3755,0.0179,Bags
21034,REX CASH+CARRY JUMBO SHOPPER,0.2275,0.0292,General
21035,SET/2 RED RETROSPOT TEA TOWELS,1.3555,0.017,Textile
21041,RED RETROSPOT OVEN GLOVE DOUBLE,2.8553,0.0419,General
21042,RED RETROSPOT APRON,1.8683,0.0212,Textile
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1.1435,0.0405,Kitchen
21071,VINTAGE BILLBOARD DRINK ME MUG,1.3815,0.0436,Kitchen
21078,SET/20 STRAWBERRY PAPER NAPKINS,2.7802,0.0471,Stationery
21080,SET/20 RED RETROSPOT PAPER NAPKINS,1.7867,0.0082,Stationery
21086,SET/6 RED SPOTTY PAPER CUPS,2.5648,0.0172,Kitchen
21094,SET/6 RED SPOTTY PAPER PLATES,2.2951,0.0132,Stationery
21098,CHRISTMAS TOILET ROLL,2.1799,0.0093,Seasonal
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,1.9019,0.0366,General
21114,LAVENDER SCENTED FABRIC HEART,0.7964,0.0145,Decor
21115,ROSE CARAVAN DOORSTOP,2.2067,0.0375,General
21116,OWL DOORSTOP,1.2384,0.0087,General
21121,SET/10 RED POLKADOT PARTY CANDLES,0.9078,0.0091,Lighting
21122,SET/10 PINK POLKADOT PARTY CANDLES,2.7569,0.0146,Lighting
21124,SET/10 BLUE SPOTTY PARTY CANDLES,1.2783,0.0014,Lighting
21135,VICTORIAN  METAL POSTCARD SPRING,1.6068,0.0127,Stationery
21136,PAINTED METAL PEARS ASSORTED,2.709,0.0078,General
21137,BLACK RECORD COVER FRAME,2.256,0.045,Decor
21154,RED RETROSPOT OVEN GLOVE,0.3763,0.033,General
21155,RED RETROSPOT PEG BAG,0.2894,0.03,Bags
21156,RETROSPOT CHILDRENS APRON,1.0524,0.0382,Textile
21164,HOME SWEET HOME METAL SIGN,2.5997,0.0092,Decor
21165,BEWARE OF THE CAT METAL SIGN,0.7257,0.0096,Decor
21166,COOK WITH WINE METAL SIGN,1.1021,0.0082,Decor
21169,YOU'RE CONFUSING ME METAL SIGN,1.5471,0.0142,Decor
21172,PARTY METAL SIGN,2.8402,0.0012,Decor
21174,POTTERING IN THE SHED METAL SIGN,1.0241,0.0487,Decor
21175,GIN + TONIC DIET METAL SIGN,1.1772,0.0318,Decor
21179,NO JUNK MAIL METAL SIGN,2.3888,0.0404,Decor
21181,PLEASE ONE PERSON METAL SIGN,1.788,0.0307,Decor
21186,WHITE DOVE HONEYCOMB PAPER GARLAND,1.1629,0.0115,Decor
21210,SET OF 72 RETROSPOT PAPER  DOILIES,0.5146,0.016,Stationery
21212,PACK OF 72 RETROSPOT CAKE CASES,2.8099,0.0181,General
21213,PACK OF 72 SKULL CAKE CASES,0.435,0.0033,General
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",2.8158,0.0062,General
21217,RED RETROSPOT ROUND CAKE TINS,0.8006,0.0024,General
21218,RED SPOTTY BISCUIT TIN,2.855,0.0205,General
21231,SWEETHEART CERAMIC TRINKET BOX,1.5258,0.0222,Decor
21232,STRAWBERRY CERAMIC TRINKET BOX,1.2598,0.0141,General
21238,RED RETROSPOT CUP,2.8461,0.046,Kitchen
21239,PINK  POLKADOT CUP,0.7427,0.0138,Kitchen
21240,BLUE POLKADOT CUP,2.9539,0.0258,Kitchen
21242,RED RETROSPOT PLATE,2.2095,0.0407,General
21243,PINK  POLKADOT PLATE,0.6087,0.0101,General
21244,BLUE POLKADOT PLATE,2.4588,0.0307,General
21257,VICTORIAN SEWING BOX MEDIUM,0.2854,0.0381,General
21258,VICTORIAN SEWING BOX LARGE,0.4662,0.0055,General
21259,VICTORIAN SEWING BOX SMALL,2.7871,0.0238,General
21260,FIRST AID TIN,0.7777,0.0043,General
21313,GLASS HEART T-LIGHT HOLDER,2.3416,0.0328,Lighting
21314,SMALL GLASS HEART TRINKET POT,2.5854,0.0498,Decor
21326,AGED GLASS SILVER T-LIGHT HOLDER,1.7668,0.0155,Lighting
21327,SKULLS WRITING SET,0.4768,0.0291,General
21328,BALLOONS  WRITING SET,2.576,0.0487,General
21329,DINOSAURS  WRITING SET,2.5715,0.027,General
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,0.5273,0.0117,General
21363,HOME SMALL WOOD LETTERS,2.1485,0.0015,General
21380,WOODEN HAPPY BIRTHDAY GARLAND,1.7961,0.0067,Decor
21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,2.9212,0.0293,Decor
21385,IVORY HANGING DECORATION  HEART,1.1567,0.0478,Decor
21390,FILIGRIS HEART WITH BUTTERFLY,2.0545,0.0248,Decor
21407,BROWN CHECK CAT DOORSTOP,1.7704,0.0022,General
21411,GINGHAM HEART  DOORSTOP RED,0.1238,0.0371,Decor
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,1.431,0.0378,General
21429,RED GINGHAM ROSE JEWELLERY BOX,1.9418,0.042,General
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,2.9849,0.0247,General
21452,TOADSTOOL MONEY BOX,0.9938,0.0136,General
21479,WHITE SKULL HOT WATER BOTTLE,0.639,0.0216,Kitchen
21481,FAWN BLUE HOT WATER BOTTLE,2.7466,0.023,Kitchen
21484,CHICK GREY HOT WATER BOTTLE,1.2111,0.0074,Kitchen
21485,RETROSPOT HEART HOT WATER BOTTLE,1.1562,0.0073,Kitchen
21488,RED WHITE SCARF  HOT WATER BOTTLE,1.6658,0.0102,Kitchen
21494,ROTATING LEAVES T-LIGHT HOLDER,2.5071,0.0286,Lighting
21495,SKULLS AND CROSSBONES WRAP,0.6782,0.0202,General
21497,FANCY FONTS BIRTHDAY WRAP,2.9831,0.0248,General
21498,RED RETROSPOT WRAP,1.04,0.0299,General
21499,BLUE POLKADOT WRAP,2.0114,0.0116,General
21500,PINK POLKADOT WRAP,0.342,0.0242,General
21506,"FANCY FONT BIRTHDAY CARD,",1.4446,0.0242,Stationery
21507,"ELEPHANT, BIRTHDAY CARD,",2.9023,0.0306,Stationery
21508,VINTAGE KID DOLLY CARD,1.794,0.0046,Decor
21509,COWBOYS AND INDIANS BIRTHDAY CARD,1.782,0.0458,Stationery
21519,GIN & TONIC DIET GREETING CARD,1.9318,0.0128,Stationery
21523,DOORMAT FANCY FONT HOME SWEET HOME,1.2859,0.0346,General
21524,DOORMAT SPOTTY HOME SWEET HOME,1.7148,0.0251,General
21527,RED RETROSPOT TRADITIONAL TEAPOT,2.9785,0.0364,General
21531,RED RETROSPOT SUGAR JAM BOWL,1.2753,0.0418,Kitchen
21533,RETRO SPOT LARGE MILK JUG,1.1175,0.0333,General
21535,RED RETROSPOT SMALL MILK JUG,1.6504,0.0183,General
21539,RED RETROSPOT BUTTER DISH,0.4771,0.0283,General
21544,SKULLS  WATER TRANSFER TATTOOS,2.8813,0.0197,General
21558,SKULL LUNCH BOX WITH CUTLERY,0.7847,0.0326,Bags
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,2.0884,0.0317,Bags
21561,DINOSAUR LUNCH BOX WITH CUTLERY,1.3388,0.0078,Bags
21563,RED HEART SHAPE LOVE BUCKET,1.8755,0.009,Decor
21577,SAVE THE PLANET COTTON TOTE BAG,0.0668,0.0068,Bags
21578,WOODLAND DESIGN  COTTON TOTE BAG,0.8458,0.0447,Bags
21584,RETROSPOT SMALL TUBE MATCHES,1.6126,0.0348,General
21591,COSY HOUR CIGAR BOX MATCHES,1.2712,0.0212,General
21592,RETROSPOT CIGAR BOX MATCHES,0.6141,0.044,General
21621,VINTAGE UNION JACK BUNTING,1.7458,0.0077,Decor
21622,VINTAGE UNION JACK CUSHION COVER,1.0512,0.0462,Decor
21623,VINTAGE UNION JACK MEMOBOARD,1.2119,0.0106,Decor
21624,VINTAGE UNION JACK DOORSTOP,2.62,0.0392,Decor
21658,GLASS  BEURRE DISH,0.2099,0.0325,General
21668,RED STRIPE CERAMIC DRAWER KNOB,2.9857,0.0046,General
21669,BLUE STRIPE CERAMIC DRAWER KNOB,2.1729,0.0169,General
21670,BLUE SPOT CERAMIC DRAWER KNOB,2.9523,0.011,General
21671,RED SPOT CERAMIC DRAWER KNOB,0.1324,0.0443,General
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,2.5694,0.0315,General
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,1.6778,0.0244,General
21679,SKULLS  STICKERS,0.7649,0.0221,General
21700,BIG DOUGHNUT FRIDGE MAGNETS,1.3057,0.0166,General
21703,BAG 125g SWIRLY MARBLES,0.7398,0.0193,Bags
21704,BAG 250g SWIRLY MARBLES,1.7507,0.0041,Bags
21713,CITRONELLA CANDLE FLOWERPOT,1.2728,0.0143,Lighting
21714,CITRONELLA CANDLE GARDEN POT,1.2534,0.0271,Lighting
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,1.4318,0.0145,Decor
21716,BOYS VINTAGE TIN SEASIDE BUCKET,0.876,0.018,Decor
21718,RED METAL BEACH SPADE,0.2059,0.0181,General
21731,RED TOADSTOOL LED NIGHT LIGHT,0.0923,0.0355,Lighting
21733,RED HANGING HEART T-LIGHT HOLDER,0.2953,0.0282,Lighting
21745,GAOLERS KEYS DECORATIVE GARDEN,2.5449,0.0354,General
21746,SMALL RED RETROSPOT WINDMILL,1.2089,0.0337,General
21754,HOME BUILDING BLOCK WORD,2.8581,0.0093,General
21755,LOVE BUILDING BLOCK WORD,2.6807,0.0347,General
21756,BATH BUILDING BLOCK WORD,1.6498,0.0287,General
21770,OPEN CLOSED METAL SIGN,2.3513,0.0126,Decor
21774,DECORATIVE CATS BATHROOM BOTTLE,0.0612,0.0477,Kitchen
21777,RECIPE BOX WITH METAL HEART,2.1321,0.0101,Decor
21781,MA CAMPAGNE CUTLERY BOX,1.7201,0.0328,General
21786,POLKADOT RAIN HAT,1.3648,0.016,General
21787,RAIN PONCHO RETROSPOT,1.3436,0.0323,General
21790,VINTAGE SNAP CARDS,1.7379,0.0228,Decor
21791,VINTAGE HEADS AND TAILS CARD GAME,2.3556,0.0298,Decor
21810,CHRISTMAS HANGING STAR WITH BELL,1.1346,0.0059,Seasonal
21811,HANGING HEART WITH BELL,1.4932,0.0467,Decor
21829,DINOSAUR KEYRINGS ASSORTED,1.5827,0.0045,General
21832,CHOCOLATE CALCULATOR,0.635,0.0023,General
21833,CAMOUFLAGE LED TORCH,2.2076,0.0412,General
21843,RED RETROSPOT CAKE STAND,2.8721,0.0166,General
21844,RED RETROSPOT MUG,0.6255,0.019,Kitchen
21864,UNION JACK FLAG PASSPORT COVER,2.6535,0.0343,General
21866,UNION JACK FLAG LUGGAGE TAG,1.6051,0.0195,General
21868,POTTING SHED TEA MUG,2.2666,0.0426,Kitchen
21870,I CAN ONLY PLEASE ONE PERSON MUG,0.7272,0.0239,Kitchen
21871,SAVE THE PLANET MUG,0.8573,0.0486,Kitchen
21874,GIN AND TONIC MUG,1.7234,0.0471,Kitchen
21875,KINGS CHOICE MUG,0.883,0.0295,Kitchen
21876,POTTERING MUG,0.2191,0.0148,Kitchen
21877,HOME SWEET HOME MUG,2.7174,0.0185,Kitchen
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,0.3885,0.0424,General
21888,BINGO SET,0.9501,0.022,General
21889,WOODEN BOX OF DOMINOES,1.3383,0.0294,General
21890,S/6 WOODEN SKITTLES IN COTTON BAG,2.825,0.0308,Bags
21891,TRADITIONAL WOODEN SKIPPING ROPE,1.082,0.0394,General
21892,TRADITIONAL WOODEN CATCH CUP GAME,2.2931,0.0018,Kitchen
21899,"KEY FOB , GARAGE DESIGN",0.9628,0.019,Decor
21900,"KEY FOB , SHED",0.368,0.0108,General
21901,"KEY FOB , BACK DOOR",0.7925,0.0226,General
21902,"KEY FOB , FRONT  DOOR",2.673,0.0185,General
21903,MAN FLU METAL SIGN,2.284,0.027,Decor
21906,PHARMACIE FIRST AID TIN,1.4427,0.0445,General
21907,I'M ON HOLIDAY METAL SIGN,2.6436,0.0384,Decor
21908,CHOCOLATE THIS WAY METAL SIGN,2.1062,0.0247,Decor
21912,VINTAGE SNAKES & LADDERS,1.2938,0.0014,Decor
21914,BLUE HARMONICA IN BOX,2.5426,0.0056,General
21915,RED  HARMONICA IN BOX,1.738,0.0058,General
21916,SET 12 RETRO WHITE CHALK STICKS,1.5191,0.0303,General
21917,SET 12 KIDS  WHITE CHALK STICKS,1.8866,0.0242,General
21918,SET 12 KIDS COLOUR  CHALK STICKS,2.1391,0.0456,General
21922,UNION STRIPE WITH FRINGE  HAMMOCK,2.3828,0.0091,General
21928,JUMBO BAG SCANDINAVIAN PAISLEY,2.5508,0.0038,Bags
21929,JUMBO BAG PINK VINTAGE PAISLEY,0.0605,0.0439,Bags
21930,JUMBO STORAGE BAG SKULLS,2.9067,0.0466,Bags
21931,JUMBO STORAGE BAG SUKI,0.2321,0.0025,Bags
21932,SCANDINAVIAN PAISLEY PICNIC BAG,2.5831,0.0248,Bags
21933,PINK VINTAGE PAISLEY PICNIC BAG,1.9973,0.0363,Bags
21934,SKULL SHOULDER BAG,1.003,0.032,Bags
21935,SUKI  SHOULDER BAG,1.8768,0.0049,Bags
21936,RED RETROSPOT PICNIC BAG,1.149,0.0113,Bags
21937,STRAWBERRY   PICNIC BAG,0.2685,0.0262,Bags
21955,DOORMAT UNION JACK GUNS AND ROSES,2.2121,0.0024,General
21967,PACK OF 12 SKULL TISSUES,0.8094,0.0116,General
21974,SET OF 36 PAISLEY FLOWER DOILIES,2.7077,0.0384,General
21975,PACK OF 60 DINOSAUR CAKE CASES,2.4443,0.0273,General
21976,PACK OF 60 MUSHROOM CAKE CASES,0.8438,0.0334,General
21977,PACK OF 60 PINK PAISLEY CAKE CASES,2.5757,0.0338,General
21980,PACK OF 12 RED RETROSPOT TISSUES,2.0802,0.0484,General
21981,PACK OF 12 WOODLAND TISSUES,2.7616,0.0179,General
21982,PACK OF 12 SUKI TISSUES,2.9262,0.0255,General
21984,PACK OF 12 PINK PAISLEY TISSUES,0.4292,0.0079,General
21985,PACK OF 12 HEARTS DESIGN TISSUES,2.0863,0.0238,Decor
21986,PACK OF 12 PINK POLKADOT TISSUES,2.8026,0.0158,General
21987,PACK OF 6 SKULL PAPER CUPS,0.4523,0.0333,Kitchen
21988,PACK OF 6 SKULL PAPER PLATES,2.9805,0.0156,Stationery
21989,PACK OF 20 SKULL PAPER NAPKINS,0.1841,0.0081,Stationery
21990,MODERN FLORAL STATIONERY SET,1.7206,0.0304,General
21992,VINTAGE PAISLEY STATIONERY SET,1.3559,0.0051,Decor
21993,FLORAL FOLK STATIONERY SET,2.4198,0.0415,General
22023,EMPIRE BIRTHDAY CARD,1.2962,0.0204,Stationery
22024,RAINY LADIES BIRTHDAY CARD,2.5137,0.0202,Stationery
22027,TEA PARTY BIRTHDAY CARD,0.2686,0.0264,Stationery
22028,PENNY FARTHING BIRTHDAY CARD,1.1987,0.0088,Stationery
22029,SPACEBOY BIRTHDAY CARD,1.2666,0.0034,Stationery
22030,SWALLOWS GREETING CARD,0.8535,0.0112,Stationery
22037,ROBOT BIRTHDAY CARD,0.5377,0.0333,Stationery
22041,"RECORD FRAME 7"" SINGLE SIZE",2.7374,0.0483,Decor
22045,SPACEBOY GIFT WRAP,1.795,0.0432,General
22055,MINI CAKE STAND  HANGING STRAWBERY,1.5647,0.0307,General
22059,CERAMIC STRAWBERRY DESIGN MUG,2.2817,0.0479,Kitchen
22061,LARGE CAKE STAND  HANGING STRAWBERY,1.7604,0.0137,General
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,2.7207,0.0386,Kitchen
22064,PINK DOUGHNUT TRINKET POT,1.8541,0.0363,General
22065,CHRISTMAS PUDDING TRINKET POT,0.1882,0.0117,Seasonal
22072,RED RETROSPOT TEA CUP AND SAUCER,1.604,0.0026,Kitchen
22073,RED RETROSPOT STORAGE JAR,0.5417,0.0046,Kitchen
22075,6 RIBBONS ELEGANT CHRISTMAS,1.3728,0.0081,Seasonal
22076,6 RIBBONS EMPIRE,0.3648,0.0104,General
22077,6 RIBBONS RUSTIC CHARM,0.7995,0.0442,General
22078,RIBBON REEL LACE DESIGN,1.0699,0.0293,Decor
22079,RIBBON REEL HEARTS DESIGN,0.0964,0.0334,Decor
22080,RIBBON REEL SPOTS DESIGN,2.7721,0.03,Decor
22082,RIBBON REEL STRIPES DESIGN,1.045,0.0486,Decor
22083,PAPER CHAIN KIT RETROSPOT,1.4227,0.0137,Stationery
22084,PAPER CHAIN KIT EMPIRE,2.3691,0.0082,Stationery
22086,PAPER CHAIN KIT 50'S CHRISTMAS,0.0578,0.002,Seasonal
22087,PAPER BUNTING WHITE LACE,0.2127,0.0262,Stationery
22088,PAPER BUNTING COLOURED LACE,2.2094,0.0215,Stationery
22089,PAPER BUNTING VINTAGE PAISLEY,0.1279,0.0289,Decor
22090,PAPER BUNTING RETROSPOT,0.8586,0.0399,Stationery
22107,PIZZA PLATE IN BOX,1.02,0.0327,General
22109,FULL ENGLISH BREAKFAST PLATE,2.6345,0.0121,General
22110,BIRD HOUSE HOT WATER BOTTLE,2.0333,0.0486,Kitchen
22111,SCOTTIE DOG HOT WATER BOTTLE,0.0832,0.0148,Kitchen
22112,CHOCOLATE HOT WATER BOTTLE,2.0887,0.0439,Kitchen
22113,GREY HEART HOT WATER BOTTLE,1.2401,0.0094,Kitchen
22114,HOT WATER BOTTLE TEA AND SYMPATHY,2.9475,0.0314,Kitchen
22115,METAL SIGN EMPIRE TEA,2.0034,0.0468,Decor
22120,WELCOME  WOODEN BLOCK LETTERS,2.9656,0.0229,General
22121,NOEL WOODEN BLOCK LETTERS,2.3575,0.0218,General
22130,PARTY CONE CHRISTMAS DECORATION,2.5291,0.0032,Seasonal
22131,FOOD CONTAINER SET 3 LOVE HEART,1.7959,0.0188,Decor
22132,RED LOVE HEART SHAPE CUP,0.4143,0.031,Kitchen
22138,BAKING SET 9 PIECE RETROSPOT,2.2722,0.021,General
22139,RETROSPOT TEA SET CERAMIC 11 PC,2.5538,0.0263,General
22141,CHRISTMAS CRAFT TREE TOP ANGEL,1.9403,0.0188,Seasonal
22142,CHRISTMAS CRAFT WHITE FAIRY,2.5283,0.0329,Seasonal
22144,CHRISTMAS CRAFT LITTLE FRIENDS,2.1815,0.0365,Seasonal
22147,FELTCRAFT BUTTERFLY HEARTS,0.8967,0.0488,Decor
22149,FELTCRAFT 6 FLOWER FRIENDS,2.5714,0.0393,General
22150,3 STRIPEY MICE FELTCRAFT,1.1646,0.0129,General
22151,PLACE SETTING WHITE HEART,1.613,0.0324,Decor
22155,STAR DECORATION RUSTIC,0.7709,0.0149,General
22156,HEART DECORATION WITH PEARLS,0.1015,0.0236,Decor
22158,3 HEARTS HANGING DECORATION RUSTIC,1.4004,0.0019,Decor
22161,HEART DECORATION RUSTIC HANGING,0.0843,0.031,Decor
22169,FAMILY ALBUM WHITE PICTURE FRAME,0.5319,0.0427,Decor
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2.1211,0.0314,Decor
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,0.1271,0.0109,General
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,0.0817,0.0335,General
22174,PHOTO CUBE,2.0251,0.0497,General
22175,PINK OWL SOFT TOY,0.9817,0.0449,Toys
22178,VICTORIAN GLASS HANGING T-LIGHT,1.4659,0.0135,Lighting
22179,SET 10 LIGHTS NIGHT OWL,2.9343,0.0311,Lighting
22180,RETROSPOT LAMP,0.8125,0.0079,General
22185,SLATE TILE NATURAL HANGING,2.0083,0.0373,General
22187,GREEN CHRISTMAS TREE CARD HOLDER,0.5758,0.0355,Seasonal
22188,BLACK HEART CARD HOLDER,2.2816,0.0078,Decor
22189,CREAM HEART CARD HOLDER,1.0519,0.0207,Decor
22191,IVORY DINER WALL CLOCK,0.0751,0.0144,General
22192,BLUE DINER WALL CLOCK,1.6701,0.003,General
22193,RED DINER WALL CLOCK,1.1904,0.0328,General
22195,LARGE HEART MEASURING SPOONS,0.3023,0.048,Decor
22196,SMALL HEART MEASURING SPOONS,0.9434,0.006,Decor
22197,SMALL POPCORN HOLDER,1.6587,0.0192,General
22198,LARGE POPCORN HOLDER,2.192,0.0023,General
22199,FRYING PAN RED RETROSPOT,1.9394,0.045,General
22203,MILK PAN RED RETROSPOT,2.1188,0.0212,General
22207,FRYING PAN UNION FLAG,1.8013,0.0384,General
22208,WOOD STAMP SET THANK YOU,1.3716,0.0196,General
22212,FOUR HOOK  WHITE LOVEBIRDS,1.6536,0.0078,General
22219,LOVEBIRD HANGING DECORATION WHITE,0.5956,0.0009,General
22222,CAKE PLATE LOVEBIRD WHITE,0.7544,0.006,General
22224,WHITE LOVEBIRD LANTERN,1.1133,0.0179,Lighting
22227,HANGING HEART MIRROR DECORATION,0.057,0.0023,Decor
22236,CAKE STAND 3 TIER MAGIC GARDEN,2.926,0.0132,General
22241,GARLAND WOODEN HAPPY EASTER,2.7722,0.0497,Seasonal
22242,"HOOK, 5 HANGER , MAGIC TOADSTOOL",0.4385,0.0245,General
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,2.8352,0.0358,General
22244,3 HOOK HANGER MAGIC GARDEN,0.2597,0.0277,General
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",1.3421,0.0438,General
22271,FELTCRAFT DOLL ROSIE,1.8018,0.0275,Toys
22273,FELTCRAFT DOLL MOLLY,1.6561,0.0061,Toys
22274,FELTCRAFT DOLL EMILY,1.8831,0.0018,Toys
22276,WASH BAG VINTAGE ROSE PAISLEY,1.63,0.0247,Bags
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,0.0658,0.0068,Bags
22283,6 EGG HOUSE PAINTED WOOD,0.4121,0.036,General
22294,HEART FILIGREE DOVE  SMALL,0.9056,0.0466,Decor
22295,HEART FILIGREE DOVE LARGE,1.9139,0.0427,Decor
22296,HEART IVORY TRELLIS LARGE,2.1541,0.0112,Decor
22297,HEART IVORY TRELLIS SMALL,0.5639,0.0279,Decor
22300,COFFEE MUG DOG + BALL DESIGN,1.2912,0.0326,Kitchen
22301,COFFEE MUG CAT + BIRD DESIGN,1.1877,0.0474,Kitchen
22302,COFFEE MUG PEARS  DESIGN,1.092,0.0283,Kitchen
22303,COFFEE MUG APPLES DESIGN,0.5543,0.0361,Kitchen
22315,200 RED + WHITE BENDY STRAWS,1.2873,0.0271,General
22318,FIVE HEART HANGING DECORATION,1.1856,0.0009,Decor
22326,ROUND SNACK BOXES SET OF4 WOODLAND,2.7439,0.0352,General
22327,ROUND SNACK BOXES SET OF 4 SKULLS,1.5685,0.0332,General
22328,ROUND SNACK BOXES SET OF 4 FRUITS,2.4419,0.0014,General
22329,ROUND CONTAINER SET OF 5 RETROSPOT,0.6954,0.0271,General
22331,WOODLAND PARTY BAG + STICKER SET,0.4432,0.0078,Bags
22332,SKULLS PARTY BAG + STICKER SET,1.5143,0.0057,Bags
22333,RETROSPOT PARTY BAG + STICKER SET,0.9206,0.0455,Bags
22335,HEART DECORATION PAINTED ZINC,2.2883,0.0184,Decor
22348,TEA BAG PLATE RED RETROSPOT,0.2843,0.0316,Bags
22349,DOG BOWL CHASING BALL DESIGN,1.0479,0.024,Kitchen
22352,LUNCH BOX WITH CUTLERY RETROSPOT,0.1555,0.0086,Bags
22353,LUNCH BOX WITH CUTLERY FAIRY CAKES,1.3509,0.0116,Bags
22355,CHARLOTTE BAG SUKI DESIGN,2.2089,0.0404,Bags
22356,CHARLOTTE BAG PINK POLKADOT,2.5803,0.033,Bags
22357,KINGS CHOICE BISCUIT TIN,0.1331,0.0231,General
22358,KINGS CHOICE TEA CADDY,2.9573,0.0253,General
22360,GLASS JAR ENGLISH CONFECTIONERY,0.7256,0.0464,Kitchen
22361,GLASS JAR DAISY FRESH COTTON WOOL,0.491,0.0214,Kitchen
